target_kind,target_id,expected_text,severity,release_blocking,source_path,reason
phrase,city-danang-atm-airport,Có ATM gần Sân bay Đà Nẵng không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-atm-bach-dang-street,Có ATM gần Đường Bạch Đằng không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-atm-con-market,Có ATM gần Chợ Cồn không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-atm-han-market,Có ATM gần Chợ Hàn không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-atm-helio-night-market,Có ATM gần Chợ đêm Helio không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-bach-dang-route,Đi đường Bạch Đằng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-eat-near-bach-dang-street,Ăn gần Đường Bạch Đằng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-eat-near-con-market,Ăn gần Chợ Cồn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-eat-near-han-market,Ăn gần Chợ Hàn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-airport,Đi Sân bay Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-ba-na-hills,Đi Bà Nà Hills,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-con-market,Đi Chợ Cồn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-han-market,Đi Chợ Hàn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-helio-night-market,Đi Chợ đêm Helio,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-nen,Cho tôi đến nhà hàng Nén Đà Nẵng.,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-railway-station,Đi Ga Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-son-tra-night-market,Đi Chợ đêm Sơn Trà,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-tien-sa-port,Đi Cảng Tiên Sa,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-go-vo-nguyen-giap-street,Đi Đường Võ Nguyên Giáp,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-bach-dang-street,Đường Bạch Đằng gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-con-market,Chợ Cồn gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-han-market,Chợ Hàn gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-helio-night-market,Chợ đêm Helio gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-nguyen-van-linh-street,Đường Nguyễn Văn Linh gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-son-tra-night-market,Chợ đêm Sơn Trà gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-near-vo-nguyen-giap-street,Đường Võ Nguyên Giáp gần đây không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-pharmacy-han-market,Có nhà thuốc gần chợ Hàn không?,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-3d-art-in-paradise,Bảo tàng 3D Art in Paradise Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-43-factory,43 Factory Coffee Roaster,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-an-thuong-street-area,Khu An Thượng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-ba-na-cable-car,Cáp treo Bà Nà,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bac-my-an-market,Chợ Bắc Mỹ An,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-banh-canh-yen,Bánh Canh Yến,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-banh-mi,Bánh mì ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-banh-trang-cuon-thit-heo,Bánh tráng cuốn thịt heo ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-banh-xeo,Bánh xèo ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-banh-xeo-ba-duong,Bánh xèo Bà Dưỡng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-be-man,Hải sản Bé Mặn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bep-cuon,Bếp Cuốn Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bep-hen,Bếp Hên,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-boulevard-gelato-coffee,Boulevard Gelato & Coffee,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
