"selected_order","batch_role","selection_group","page_id","phrase_id","relationship_id","source_kind","source_id","target_kind","target_id","target_page_id","target_resolution_status","target_vietnamese","target_english","relation_type","display_label","reason","sort_order","generated_relation_source_path","source_path","reviewer_notes","review_status","import_approval"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:01fe5e933bb0bbbc","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-city-hanoi-atm-bun-cha-huong-lien","viet-phrase-city-hanoi-atm-bun-cha-huong-lien","resolved_one_canonical_page","","","see_also","What it is","Authored What it is row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:5fec9ddd3ec29818","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-store-6","viet-phrase-store-6","resolved_one_canonical_page","","","see_also","When to use it","Authored When to use it row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:76cdcac311907832","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da","viet-phrase-vpe-one-item-please-cho-toi-mot-tra-da","resolved_one_canonical_page","","","see_also","Inside the place","Authored Inside the place row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:990dfe2f3ec60bb2","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-city-hanoi-stop-bun-cha-huong-lien","viet-phrase-city-hanoi-stop-bun-cha-huong-lien","resolved_one_canonical_page","","","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:acf4e7b5c24b0c83","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-ves-call-taxi-for-me","viet-phrase-ves-call-taxi-for-me","resolved_one_canonical_page","","","see_also","Before you go","Authored Before you go row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:d87000a933af7e81","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-ves-order-bun-cha-portion","viet-phrase-ves-order-bun-cha-portion","resolved_one_canonical_page","","","see_also","Quick say","Authored Quick say row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:dccab730e8b56979","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-food-need-table","viet-phrase-food-need-table","resolved_one_canonical_page","","","see_also","Menu and dietary help","Authored Menu and dietary help row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:275fc0f27bba9012","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-taxi-7","viet-phrase-taxi-7","resolved_one_canonical_page","","","see_also","When to use it","Authored When to use it row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:2a439bc7efc3abe1","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-coffee-7","viet-phrase-coffee-7","resolved_one_canonical_page","","","see_also","Inside the place","Authored Inside the place row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"1","active_review","restaurant","viet-phrase-city-hanoi-place-bun-cha-huong-lien","city-hanoi-place-bun-cha-huong-lien","relation:86a535b0fda39157","phrase_page","viet-phrase-city-hanoi-place-bun-cha-huong-lien","phrase_page","viet-phrase-city-hanoi-where-bun-cha-huong-lien","viet-phrase-city-hanoi-where-bun-cha-huong-lien","resolved_one_canonical_page","","","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
