batch_id	prompt_file	status	session_url
batch_013_recovery	batch_013_recovery_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ac1d-66d0-83ea-bc9c-61bf4b1b9e89
batch_014_recovery	batch_014_recovery_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ac8e-210c-83ea-aa56-052a430d5ac1
batch_015_recovery	batch_015_recovery_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ace4-ebe4-83ea-9c0d-3617d966434f
batch_023	batch_023_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14add7-1218-83ea-85f7-94189e1461ee
batch_024	batch_024_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ae15-08d4-83ea-a639-9fe6e6b39a62
batch_025	batch_025_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ae4a-dc9c-83ea-8bde-c86b96a08d29
batch_026	batch_026_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14ae7d-1d2c-83ea-9f5f-78ad25b45b35
batch_027	batch_027_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14aeb6-fd0c-83ea-8b2c-e7bc40007439
batch_028	batch_028_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14aef4-42f0-83ea-89f3-055394cba22d
batch_029	batch_029_da-nang_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14b046-c3bc-83ea-ab90-044df0c26630
batch_030	batch_030_da-nang-hanoi_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14b217-dba0-83ea-8b89-be085c283e6f
batch_031	batch_031_hanoi_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14b31f-0838-83ea-bdcc-739dd9d43117
batch_032	batch_032_hanoi_prompt.md	chatgpt_session_started	https://chatgpt.com/g/g-p-6a13d31fe8308191a4fc612012775595-speaklocal-city-pages-v2-2-copy/c/6a14b522-4df8-83ea-81e7-b9f1fd85d4d5
