"page_id","phrase_id","source_lane","pageKind","section_id","section_key","breakdown_token_id","sort_order","current_token_text","current_english_gloss","source_path","proposed_token_text","proposed_english_gloss","reviewer_notes","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-co","acknowledge-co","catalog-promoted","phrase","viet-phrase-acknowledge-co:breakdown","breakdown","viet-phrase-acknowledge-co:breakdown:breakdown:chunk-1","0","Có","Yes / there is","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-co.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:chunk-3","2","anh","older man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:chunk-4","3","Dạ, chào anh","Respectful hello to an older man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ba:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ba:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ba:breakdown:breakdown:chunk-3","2","bà","elderly woman","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ba:breakdown:breakdown:chunk-4","3","Dạ, chào bà","Respectful hello to an elderly woman","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chi:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chi:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chi:breakdown:breakdown:chunk-3","2","chị","older woman","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chi:breakdown:breakdown:chunk-4","3","Dạ, chào chị","Respectful hello to an older woman","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chu:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chu:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chu:breakdown:breakdown:chunk-3","2","chú","uncle-age man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:breakdown","breakdown","viet-phrase-acknowledge-da-chao-chu:breakdown:breakdown:chunk-4","3","Dạ, chào chú","Respectful hello to an uncle-age man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:breakdown","breakdown","viet-phrase-acknowledge-da-chao-co:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:breakdown","breakdown","viet-phrase-acknowledge-da-chao-co:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:breakdown","breakdown","viet-phrase-acknowledge-da-chao-co:breakdown:breakdown:chunk-3","2","cô","have / yes","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:breakdown","breakdown","viet-phrase-acknowledge-da-chao-co:breakdown:breakdown:chunk-4","3","Dạ, chào cô","Respectful hello to an aunt-age woman","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ong:breakdown:breakdown:chunk-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ong:breakdown:breakdown:chunk-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ong:breakdown:breakdown:chunk-3","2","ông","elderly man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:breakdown","breakdown","viet-phrase-acknowledge-da-chao-ong:breakdown:breakdown:chunk-4","3","Dạ, chào ông","Respectful hello to an elderly man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:breakdown","breakdown","viet-phrase-acknowledge-duoc:breakdown:breakdown:chunk-1","0","Được","Okay / that works","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","viet-phrase-acknowledge-khong:breakdown","breakdown","viet-phrase-acknowledge-khong:breakdown:breakdown:chunk-1","0","Không","No","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","viet-phrase-airport-1:breakdown","breakdown","viet-phrase-airport-1:breakdown:breakdown:airport-1-piece-1","0","Nhập cảnh","immigration","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","viet-phrase-airport-1:breakdown","breakdown","viet-phrase-airport-1:breakdown:breakdown:airport-1-piece-2","1","ở đâu?","where?","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","viet-phrase-airport-1:breakdown","breakdown","viet-phrase-airport-1:breakdown:breakdown:airport-1-full","2","Nhập cảnh ở đâu?","Where is immigration","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","viet-phrase-airport-2:breakdown","breakdown","viet-phrase-airport-2:breakdown:breakdown:airport-2-piece-1","0","Lấy","claim / collect","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","viet-phrase-airport-2:breakdown","breakdown","viet-phrase-airport-2:breakdown:breakdown:airport-2-piece-2","1","hành lý","baggage","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","viet-phrase-airport-2:breakdown","breakdown","viet-phrase-airport-2:breakdown:breakdown:airport-2-piece-3","2","ở đâu?","where?","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","viet-phrase-airport-2:breakdown","breakdown","viet-phrase-airport-2:breakdown:breakdown:airport-2-full","3","Lấy hành lý ở đâu?","Where is baggage claim","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","not_started","","",""
"viet-phrase-airport-3","airport-3","tier1","phrase","viet-phrase-airport-3:breakdown","breakdown","viet-phrase-airport-3:breakdown:breakdown:airport-3-piece-1","0","Mua SIM","buy a SIM","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-sim.json","","","","not_started","","",""
