"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"repair-premium-simpler-words","understanding-repair","repair-simpler-words","Ask for simpler words","When speed is not the only problem, ask for easier wording instead of the same sentence again.","repair-premium-simpler-words","Can you use simpler words?","Báº¡n cÃ³ thá»ƒ sá»­ dá»¥ng nhá»¯ng tá»« Ä‘Æ¡n giáº£n hÆ¡n?","Báº¡n cÃ³ thá»ƒ sá»­ dá»¥ng nhá»¯ng tá»« Ä‘Æ¡n giáº£n hÆ¡n?","Ban co the su dung nhung tu don gian hon","premium","say-first","Use this after 'I don't understand' when the problem is the wording, not just the speed.","","simpler words|say it more simply|easy words","","planned","ðŸ§©","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"repair-premium-type-phone","understanding-repair","repair-type-phone","Move the repair to their phone","Typing often rescues names, addresses, and booking details faster than repeating them out loud.","repair-premium-type-phone","Can you type it on your phone?","Báº¡n cÃ³ thá»ƒ gÃµ nÃ³ trÃªn Ä‘iá»‡n thoáº¡i cá»§a báº¡n?","Báº¡n cÃ³ thá»ƒ gÃµ nÃ³ trÃªn Ä‘iá»‡n thoáº¡i cá»§a báº¡n?","Ban co the go no tren dien thoai cua ban","premium","say-first","Use this when spelling or repeating still is not enough.","","type it on your phone|type it|show me typed","","planned","ðŸ“±","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"repair-premium-text-me","understanding-repair","repair-text-me","Ask them to send it as a message","A text message can rescue addresses, pickup details, and booking references without more confusion.","repair-premium-text-me","Can you text it to me?","Báº¡n cÃ³ thá»ƒ nháº¯n tin cho tÃ´i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ nháº¯n tin cho tÃ´i Ä‘Æ°á»£c khÃ´ng?","Ban co the nhan tin cho toi duoc khong","premium","say-first","Use this when you need the address, name, or instructions in a form you can show later.","","text it to me|send me a message|send it by text","","planned","ðŸ’¬","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"repair-premium-spell-name","understanding-repair","repair-spell-name","Ask them to spell the name","This is for hotel names, bus companies, streets, and people whose names you need exactly.","repair-premium-spell-name","Can you spell the name for me?","Báº¡n cÃ³ thá»ƒ Ä‘Ã¡nh váº§n tÃªn cho tÃ´i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ Ä‘Ã¡nh váº§n tÃªn cho tÃ´i Ä‘Æ°á»£c khÃ´ng?","Ban co the danh van ten cho toi duoc khong","premium","say-first","Use this when the key thing is a name you need to recognize or copy correctly.","","spell the name|spell it for me|name spelling","","planned","ðŸ”¤","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"repair-premium-which-exit","understanding-repair","repair-which-exit","Clarify the exit or doorway","This prevents getting lost when the place is right but the exact entrance, gate, or exit is still unclear.","repair-premium-which-exit","Which exit is it?","ÄÃ³ lÃ  lá»‘i ra nÃ o?","ÄÃ³ lÃ  lá»‘i ra nÃ o?","Do la loi ra nao","premium","say-first","Use this at stations, malls, airports, or big buildings when the destination is nearby but not solved.","","which exit|which gate|which entrance","","planned","ðŸšª","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"repair-premium-time-exact","understanding-repair","repair-time-exact","Ask for the exact time","This fixes vague timing before it becomes a missed ride, check-in, or pickup.","repair-premium-time-exact","What time exactly?","ChÃ­nh xÃ¡c lÃ  máº¥y giá»?","ChÃ­nh xÃ¡c lÃ  máº¥y giá»?","Chinh xac la may gio","premium","say-first","Use this when 'later' or 'around then' is not precise enough for the situation.","","what time exactly|exact time|which time exactly","","planned","ðŸ•’","Phase 1A premium repair scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"money-premium-total-wrong","money-numbers-prices","money-total-wrong","Challenge a wrong total","Use this when the number in front of you does not match what you expected to pay.","money-premium-total-wrong","This total is wrong.","Tá»•ng sá»‘ nÃ y lÃ  sai.","Tá»•ng sá»‘ nÃ y lÃ  sai.","Tong so nay la sai","premium","say-first","Use this at the register, on a receipt, or on a payment screen before the charge goes through.","","wrong total|total is wrong|this total is wrong","","planned","ðŸ§¾","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"money-premium-price-changed","money-numbers-prices","money-price-changed","Ask why the price changed","This is for the moment when the quoted amount and the final amount do not match.","money-premium-price-changed","Why is the price different now?","Sao bÃ¢y giá» giÃ¡ láº¡i khÃ¡c tháº¿?","Sao bÃ¢y giá» giÃ¡ láº¡i khÃ¡c tháº¿?","Sao bay gio gia lai khac the","premium","say-first","Use this when the price changed after you already understood the earlier number.","","price changed|different price now|why is it different","","planned","ðŸ·ï¸","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"money-premium-what-fee","money-numbers-prices","money-what-fee","Ask what the extra fee is for","This keeps the conversation focused on the exact charge instead of broad disagreement.","money-premium-what-fee","What is this fee for?","Khoáº£n phÃ­ nÃ y dÃ¹ng Ä‘á»ƒ lÃ m gÃ¬?","Khoáº£n phÃ­ nÃ y dÃ¹ng Ä‘á»ƒ lÃ m gÃ¬?","Khoan phi nay dung de lam gi","premium","say-first","Use this when you see an added fee, service charge, or extra line that was not clear before.","","what fee is this|extra fee|what is this charge","","planned","âž•","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"money-premium-write-total","money-numbers-prices","money-write-total","Ask them to write the total down","Written numbers lower the chance of agreeing to the wrong amount by mistake.","money-premium-write-total","Please write the total down.","HÃ£y viáº¿t tá»•ng sá»‘ ra.","HÃ£y viáº¿t tá»•ng sá»‘ ra.","Hay viet tong so ra","premium","say-first","Use this when speech or noise is making the amount hard to confirm safely.","","write the total down|write total|show total in writing","","planned","âœï¸","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
